approximate_timing,maxVal,std,skewness,kurtosis_,max_deviation,centroids_ptp,centroids_mean,centroids_std,centroids_kurt,centroids_skew,sp_bandwidth_ptp,sp_bandwidth_mean,sp_bandwidth_std,sp_bandwidth_skew,fft_1,rms,p_t_p,crest_f,prediction
2:53.9 - 2:55.4,18545.0,2214.9,-0.0,5.2,19345.6,2218.2,13439.1,435.1,0.4,-1.0,1672.1,9759.7,263.0,-0.7,-0.5,28.2,-27686.0,658.6,0.93004376
2:55.4 - 2:56.8,11750.0,2108.0,0.0,4.1,12141.2,2191.0,13197.3,443.0,-0.4,0.1,1473.9,9778.0,338.5,-0.2,-0.5,30.6,23851.0,383.7,0.034094803
2:56.8 - 2:58.3,11558.0,1540.1,0.1,7.7,11523.4,1786.8,13152.8,313.1,1.2,1.0,1397.9,9555.7,282.4,1.0,0.5,36.5,22213.0,316.6,0.0025121302
2:58.3 - 2:59.8,23597.0,2604.3,0.0,3.6,23558.4,2242.5,13669.3,346.3,3.3,-1.4,854.4,9944.8,144.2,-0.3,-0.5,21.8,-22024.0,1080.0,0.065140784
2:59.8 - 3:1.3,10389.0,1897.7,0.3,3.2,11086.2,2052.6,13304.3,402.4,-0.0,-0.4,1164.6,9820.4,207.6,-0.2,-0.5,26.8,21438.0,387.0,0.0380718
3:1.3 - 3:2.8,9100.0,1822.7,-0.1,3.0,10396.9,1771.6,13320.4,318.7,0.0,0.1,1129.3,9772.9,189.6,0.3,-0.5,28.5,19458.0,319.2,0.75593644
3:2.8 - 3:4.3,26735.0,2016.0,0.1,14.2,26702.6,1774.3,13495.9,306.9,-0.4,-0.4,1198.0,9653.0,192.1,-0.4,0.5,34.1,-20942.0,784.1,0.047873974
3:4.3 - 3:5.8,7790.0,1023.0,0.1,6.6,7751.3,1663.4,13123.7,255.7,0.7,0.1,1029.0,9520.7,208.2,0.4,-0.5,42.2,14562.0,184.7,0.005453926
3:5.8 - 3:7.2,12162.0,1579.6,0.2,4.7,12120.2,2309.4,13140.6,275.1,2.6,-0.3,1038.4,9559.8,190.6,0.5,-0.5,29.3,23078.0,415.0,0.003192357
3:7.2 - 3:8.7,9898.0,1536.0,0.0,4.9,9869.0,1514.7,13099.0,290.0,-0.2,0.1,1274.6,9529.1,256.0,0.3,-0.5,32.9,18836.0,300.7,0.007089907
